District_Name,Level,Name,Total/Rural/Urban,No of Households,Total Population Person,Total Worker Population Person,Main Cultivator Population Person,Main Agricultural Labourers Population Person,Main Household Industries Population Person,Main Other Workers Population Person,Marginal Cultivator Population Person,Marginal Agriculture Labourers Population Person,Marginal Household Industries Population Person,Marginal Other Workers Population Person,Non Working Population Person
Nagpur,VILLAGE,Manikwada,Rural,205,898,546,174,225,0,48,50,42,0,7,352
Nagpur,VILLAGE,Gondegaon,Rural,76,341,226,38,186,0,2,0,0,0,0,115
Nagpur,VILLAGE,Nawegaon,Rural,0,0,0,0,0,0,0,0,0,0,0,0
Nagpur,VILLAGE,Mohadi (Dalvi),Rural,346,1484,809,131,381,1,20,53,222,0,1,675
Nagpur,VILLAGE,Bamhani,Rural,0,0,0,0,0,0,0,0,0,0,0,0
Nagpur,VILLAGE,Palasgaon,Rural,0,0,0,0,0,0,0,0,0,0,0,0
Nagpur,VILLAGE,Sardi,Rural,64,297,165,27,91,1,12,6,26,0,2,132
Nagpur,VILLAGE,Pithori,Rural,151,947,308,92,155,2,12,2,42,0,3,639
Nagpur,VILLAGE,Ambada (Deshmukh),Rural,295,1150,718,253,367,4,21,47,25,1,0,432
Nagpur,VILLAGE,Banor,Rural,160,710,437,91,294,2,20,1,20,0,9,273
Nagpur,VILLAGE,Pimpalgaon (wakhaji),Rural,229,971,429,186,150,17,17,6,42,7,4,542
Nagpur,VILLAGE,Narkhed (kamthi Tola),Rural,66,276,108,27,41,1,9,2,19,1,8,168
Nagpur,VILLAGE,Bhaiwadi,Rural,52,196,111,57,50,0,1,2,1,0,0,85
Nagpur,VILLAGE,Indora,Rural,21,88,46,14,9,0,1,2,17,0,3,42
Nagpur,VILLAGE,Gangaldoh,Rural,57,244,120,14,24,0,6,3,70,1,2,124
Nagpur,VILLAGE,Gondhani,Rural,70,296,162,25,92,0,12,9,18,2,4,134
Nagpur,VILLAGE,Yerla,Rural,159,619,356,188,103,0,15,4,38,0,8,263
Nagpur,VILLAGE,Nasirpur,Rural,0,0,0,0,0,0,0,0,0,0,0,0
Nagpur,VILLAGE,Khairgaon,Rural,1225,5058,2451,643,1571,19,188,7,18,0,5,2607
Nagpur,VILLAGE,Dewali,Rural,120,487,263,61,44,0,27,45,84,1,1,224
Nagpur,VILLAGE,Junona (Gharad),Rural,67,264,155,46,9,0,13,64,22,1,0,109
Nagpur,VILLAGE,Parsodi,Rural,111,468,241,21,52,3,19,2,140,1,3,227
Nagpur,VILLAGE,Nandori,Rural,7,28,28,0,4,0,24,0,0,0,0,0
Nagpur,VILLAGE,Kharsoli,Rural,606,2380,1264,229,756,36,137,10,69,5,22,1116
Nagpur,VILLAGE,Pardi,Rural,31,124,60,0,57,0,2,0,1,0,0,64
Nagpur,VILLAGE,Dhotra,Rural,25,110,60,23,36,0,1,0,0,0,0,50
Nagpur,VILLAGE,Khedikaryat,Rural,161,717,369,228,114,2,21,0,4,0,0,348
Nagpur,VILLAGE,Mohadi (Dhotra),Rural,201,902,534,192,319,1,13,1,4,0,4,368
Nagpur,VILLAGE,Toyapar,Rural,133,507,321,46,254,0,9,2,6,0,4,186
Nagpur,VILLAGE,Mogra,Rural,145,612,308,119,122,3,16,11,34,0,3,304
Nagpur,VILLAGE,Koni,Rural,221,918,489,100,189,5,41,8,141,0,5,429
Nagpur,VILLAGE,Yeni,Rural,107,415,199,74,59,1,20,18,26,0,1,216
