District_Name,Level,Name,Total/Rural/Urban,No of Households,Total Population Person,Total Worker Population Person,Main Cultivator Population Person,Main Agricultural Labourers Population Person,Main Household Industries Population Person,Main Other Workers Population Person,Marginal Cultivator Population Person,Marginal Agriculture Labourers Population Person,Marginal Household Industries Population Person,Marginal Other Workers Population Person,Non Working Population Person
Nagpur,VILLAGE,Sitapur,Rural,116,504,254,21,40,11,104,4,43,2,29,250
Nagpur,VILLAGE,Pauni,Rural,404,1768,784,15,540,33,187,0,3,1,5,984
Nagpur,VILLAGE,Pauni,Rural,106,522,337,118,149,9,57,0,0,0,4,185
Nagpur,VILLAGE,Kharpada,Rural,86,373,118,11,70,1,15,3,17,0,1,255
Nagpur,VILLAGE,Sawangi,Rural,123,599,141,2,4,1,1,3,127,1,2,458
Nagpur,VILLAGE,Manegaon,Rural,158,689,366,59,164,16,99,7,13,7,1,323
Nagpur,VILLAGE,Salai,Rural,212,932,573,221,269,3,65,5,1,9,0,359
Nagpur,VILLAGE,Ghoti,Rural,127,553,326,207,93,1,9,14,1,0,1,227
Nagpur,VILLAGE,Ramjam,Rural,39,160,109,46,53,0,1,7,2,0,0,51
Nagpur,VILLAGE,Tangla,Rural,230,1289,530,95,236,4,84,17,58,5,31,759
Nagpur,VILLAGE,Chiknapur,Rural,28,110,71,7,52,0,3,0,8,0,1,39
Nagpur,VILLAGE,Pusda,Rural,197,776,559,45,123,0,55,44,259,3,30,217
Nagpur,VILLAGE,Sarra,Rural,0,0,0,0,0,0,0,0,0,0,0,0
Nagpur,VILLAGE,Tuyapar,Rural,21,92,49,7,25,0,6,0,11,0,0,43
Nagpur,VILLAGE,Jamuniya,Rural,59,243,145,20,99,0,21,0,5,0,0,98
Nagpur,VILLAGE,Dahoda,Rural,200,1317,534,157,285,7,36,9,38,0,2,783
Nagpur,VILLAGE,Shahapur,Rural,45,192,122,2,116,1,3,0,0,0,0,70
Nagpur,VILLAGE,Ambazari,Rural,156,716,440,116,229,2,44,5,42,0,2,276
Nagpur,VILLAGE,Pathrai,Rural,337,1463,895,261,548,5,46,8,25,0,2,568
Nagpur,VILLAGE,Chorbahuli(fo),Rural,66,234,143,5,16,0,23,1,3,0,95,91
Nagpur,VILLAGE,Maharapeth (R),Rural,0,0,0,0,0,0,0,0,0,0,0,0
Nagpur,VILLAGE,Chichda,Rural,435,1804,1058,100,361,5,45,9,23,2,513,746
Nagpur,VILLAGE,Murda,Rural,85,311,198,41,65,0,7,0,1,0,84,113
Nagpur,VILLAGE,Umri,Rural,331,1399,947,221,210,0,284,9,209,0,14,452
Nagpur,VILLAGE,Maharajpur,Rural,149,599,331,5,0,0,3,20,288,3,12,268
Nagpur,VILLAGE,Nahabi,Rural,72,313,169,38,45,1,4,15,65,0,1,144
Nagpur,VILLAGE,Mukanapur,Rural,44,184,114,16,80,2,5,0,10,0,1,70
Nagpur,VILLAGE,Dongri,Rural,178,776,493,27,436,2,8,0,18,0,2,283
Nagpur,VILLAGE,Chorkhumari,Rural,72,299,204,80,86,0,37,0,0,0,1,95
Nagpur,VILLAGE,Chorbahuli (mogra),Rural,75,289,170,27,104,0,35,1,3,0,0,119
Nagpur,VILLAGE,Bhondewada,Rural,466,1834,1158,91,296,5,592,16,32,1,125,676
Nagpur,VILLAGE,Khumari,Rural,415,1518,869,89,130,9,445,5,76,86,29,649
Nagpur,VILLAGE,Borda,Rural,519,2163,1071,291,276,10,192,11,8,0,283,1092
Nagpur,VILLAGE,Sarakha,Rural,122,552,251,120,47,1,77,1,4,0,1,301
Nagpur,VILLAGE,Chhatrapur,Rural,55,231,100,7,83,1,7,0,2,0,0,131
Nagpur,VILLAGE,Bondri,Rural,161,725,344,38,143,0,154,1,6,0,2,381
Nagpur,VILLAGE,Deoli,Rural,63,249,171,13,18,1,139,0,0,0,0,78
Nagpur,VILLAGE,Hiwara (bende),Rural,129,540,297,45,58,5,49,6,106,1,27,243
Nagpur,VILLAGE,Bhilewada,Rural,248,1063,578,121,253,0,20,10,26,0,148,485
Nagpur,VILLAGE,Soneghat,Rural,70,294,169,17,22,0,38,1,47,1,43,125
Nagpur,VILLAGE,Navegaon,Rural,0,0,0,0,0,0,0,0,0,0,0,0
Nagpur,VILLAGE,Chaugan,Rural,383,1378,942,89,143,2,703,0,0,0,5,436
Nagpur,VILLAGE,Pindkapur,Rural,160,711,370,28,6,1,24,11,252,7,41,341
Nagpur,VILLAGE,Sonpur,Rural,21,99,56,8,5,0,11,2,16,0,14,43
Nagpur,VILLAGE,Mangli,Rural,82,369,213,47,54,0,69,2,32,0,9,156
Nagpur,VILLAGE,Gudegaon,Rural,107,440,272,35,84,1,61,19,63,3,6,168
Nagpur,VILLAGE,Musewadi,Rural,388,1479,836,139,339,1,327,1,24,1,4,643
Nagpur,VILLAGE,Manegaon,Rural,5,24,5,4,1,0,0,0,0,0,0,19
Nagpur,VILLAGE,Guguldoh,Rural,297,1330,592,119,237,62,18,3,16,21,116,738
Nagpur,VILLAGE,Mandri,Rural,278,1242,749,196,452,1,27,12,61,0,0,493
Nagpur,VILLAGE,Amgaon,Rural,105,437,202,4,31,0,93,3,65,0,6,235
Nagpur,VILLAGE,Pipriyapeth (r),Rural,40,177,76,0,9,3,46,1,15,0,2,101
Nagpur,VILLAGE,Kelapur (R),Rural,0,0,0,0,0,0,0,0,0,0,0,0
Nagpur,VILLAGE,Rampuri (r),Rural,16,71,41,0,20,0,12,0,7,0,2,30
Nagpur,VILLAGE,Kawadak,Rural,307,1416,589,72,116,15,171,20,103,5,87,827
Nagpur,VILLAGE,Sitalwadi,Rural,671,2972,919,48,31,37,670,6,1,9,117,2053
Nagpur,VILLAGE,Chargaon,Rural,240,1020,417,19,40,7,189,10,12,1,139,603
Nagpur,VILLAGE,Khairi,Rural,543,2354,970,234,146,55,175,163,29,33,135,1384
Nagpur,VILLAGE,Mansar ,Rural,1639,7139,2831,114,674,80,1424,26,174,50,289,4308
Nagpur,VILLAGE,Patgowari,Rural,489,2252,1195,198,745,8,134,10,88,1,11,1057
Nagpur,VILLAGE,Hetitola (N.V.),Rural,207,972,438,16,291,2,102,0,17,0,10,534
Nagpur,VILLAGE,Hiwara,Rural,222,1011,432,102,54,4,27,4,202,9,30,579
Nagpur,VILLAGE,Bijewada,Rural,43,192,62,15,39,0,4,0,4,0,0,130
Nagpur,VILLAGE,Parsoda,Rural,554,3885,851,64,29,42,532,17,27,13,127,3034
Nagpur,VILLAGE,Bhojapur,Rural,177,752,340,49,130,2,150,0,2,0,7,412
Nagpur,VILLAGE,Kawalapur,Rural,24,105,43,23,14,0,6,0,0,0,0,62
Nagpur,VILLAGE,Dudhala (R),Rural,2,8,4,0,4,0,0,0,0,0,0,4
Nagpur,VILLAGE,Sivani (Rithi),Rural,0,0,0,0,0,0,0,0,0,0,0,0
Nagpur,VILLAGE,Manapur,Rural,207,928,494,166,48,3,74,59,125,2,17,434
Nagpur,VILLAGE,Pachpaoli,Rural,0,0,0,0,0,0,0,0,0,0,0,0
Nagpur,VILLAGE,Chakorda (rithi),Rural,0,0,0,0,0,0,0,0,0,0,0,0
Nagpur,VILLAGE,Navegaon (R),Rural,3,6,4,0,1,0,0,0,3,0,0,2
Nagpur,VILLAGE,Sagrampur,Rural,130,565,376,62,223,2,7,4,78,0,0,189
Nagpur,VILLAGE,Nawargaon,Rural,298,1274,689,209,217,4,87,26,127,0,19,585
Nagpur,VILLAGE,Sirpur,Rural,87,364,221,13,93,1,46,0,63,0,5,143
Nagpur,VILLAGE,Khindsi (R),Rural,7,37,14,1,5,1,7,0,0,0,0,23
Nagpur,VILLAGE,Panchala (KH),Rural,104,434,266,44,189,3,7,1,4,0,18,168
Nagpur,VILLAGE,Panchala (BK),Rural,323,1488,803,211,272,2,152,25,119,0,22,685
Nagpur,VILLAGE,Mahadula,Rural,324,1361,738,207,369,12,66,9,69,0,6,623
Nagpur,VILLAGE,Bhandar Bodi,Rural,377,1600,903,230,234,17,77,22,304,7,12,697
Nagpur,VILLAGE,Hasapur,Rural,98,366,247,34,73,1,117,3,10,0,9,119
Nagpur,VILLAGE,Salaimeta,Rural,153,695,442,190,230,0,7,0,15,0,0,253
Nagpur,VILLAGE,Lohara,Rural,141,464,290,19,32,0,215,0,24,0,0,174
Nagpur,VILLAGE,Bori,Rural,220,1115,605,112,454,1,21,11,3,2,1,510
Nagpur,VILLAGE,Khandala (kh),Rural,108,463,248,51,189,2,6,0,0,0,0,215
Nagpur,VILLAGE,Minsi (Rithi),Rural,9,126,22,0,16,0,3,0,3,0,0,104
Nagpur,VILLAGE,Devhada (r),Rural,17,77,41,6,34,0,1,0,0,0,0,36
Nagpur,VILLAGE,Chichala,Rural,456,2201,1140,395,548,6,72,28,69,8,14,1061
Nagpur,VILLAGE,Nagardhan,Rural,1895,8235,3811,471,1737,114,1268,21,124,7,69,4424
Nagpur,VILLAGE,Ajani,Rural,305,1543,842,382,329,1,59,7,56,0,8,701
Nagpur,VILLAGE,Hamlapuri,Rural,206,993,599,290,152,6,83,41,21,0,6,394
Nagpur,VILLAGE,Hatodi,Rural,173,758,483,103,40,0,31,6,301,1,1,275
Nagpur,VILLAGE,Lohadongari,Rural,209,886,444,71,10,5,43,32,265,4,14,442
Nagpur,VILLAGE,Kachurwahi,Rural,629,2678,1577,269,830,66,77,42,270,17,6,1101
Nagpur,VILLAGE,Khodegaon,Rural,149,668,396,101,167,8,11,20,82,2,5,272
Nagpur,VILLAGE,Kirnapur,Rural,176,733,462,152,245,0,20,8,37,0,0,271
Nagpur,VILLAGE,Chokhala,Rural,227,1049,594,154,67,2,28,98,227,1,17,455
Nagpur,VILLAGE,Wadegaon,Rural,36,149,102,24,48,0,0,9,19,0,2,47
Nagpur,VILLAGE,Masala,Rural,224,890,498,58,310,50,19,13,47,0,1,392
Nagpur,VILLAGE,Ghoti,Rural,105,471,231,110,36,0,5,0,80,0,0,240
Nagpur,VILLAGE,Asoli,Rural,164,677,419,182,195,0,6,2,32,0,2,258
Nagpur,VILLAGE,Shivani (Bhodaki),Rural,386,1767,1033,225,417,40,109,27,178,7,30,734
Nagpur,VILLAGE,Kirnapur,Rural,186,808,465,116,129,2,42,66,106,1,3,343
Nagpur,CD BLOCK,Mauda,Rural,28254,125170,67536,18681,27675,865,7571,1611,9249,202,1682,57634
Nagpur,VILLAGE,Nandapuri,Rural,316,1433,638,150,176,23,122,45,121,0,1,795
Nagpur,VILLAGE,Nerla,Rural,352,1615,887,317,418,8,88,19,32,1,4,728
Nagpur,VILLAGE,Dudhala,Rural,239,1094,702,264,144,3,70,32,184,0,5,392
Nagpur,VILLAGE,Tuman,Rural,293,1245,689,216,406,3,58,1,3,0,2,556
Nagpur,VILLAGE,Tarodi,Rural,121,549,283,115,143,6,15,1,1,1,1,266
Nagpur,VILLAGE,Aroli,Rural,1041,4522,2123,313,1247,18,298,8,228,4,7,2399
Nagpur,VILLAGE,Kargaon(rithi),Rural,0,0,0,0,0,0,0,0,0,0,0,0
Nagpur,VILLAGE,Khaparkheda (Gadi Patil Teli),Rural,129,580,357,198,150,3,3,1,0,2,0,223
Nagpur,VILLAGE,Kharda,Rural,269,1229,669,204,426,0,35,0,2,0,2,560
Nagpur,VILLAGE,Rajoli,Rural,252,1086,577,150,240,0,42,37,102,0,6,509
Nagpur,VILLAGE,Pardi Kh,Rural,91,418,244,30,4,0,10,9,186,0,5,174
Nagpur,VILLAGE,Pardikala,Rural,142,648,281,92,148,0,8,7,26,0,0,367
Nagpur,VILLAGE,Nimkheda,Rural,833,3611,1668,256,608,39,416,29,265,3,52,1943
Nagpur,VILLAGE,Khaparkheda (Kirad),Rural,62,289,144,70,5,0,5,0,60,0,4,145
Nagpur,VILLAGE,Hingana,Rural,138,586,321,88,77,0,33,8,112,0,3,265
Nagpur,VILLAGE,Barshi,Rural,182,823,467,211,244,2,5,1,4,0,0,356
Nagpur,VILLAGE,Ashti,Rural,170,775,484,308,136,5,14,7,4,0,10,291
Nagpur,VILLAGE,Chacher,Rural,991,4469,2297,769,1001,79,215,40,174,6,13,2172
Nagpur,VILLAGE,Nisatkheda,Rural,193,866,452,140,217,8,22,29,30,4,2,414
Nagpur,VILLAGE,Khopadi,Rural,167,654,324,105,201,2,10,0,6,0,0,330
Nagpur,VILLAGE,Aisamba,Rural,166,745,326,76,198,8,35,0,6,0,3,419
Nagpur,VILLAGE,Salwa,Rural,105,466,205,50,99,2,37,1,14,0,2,261
Nagpur,VILLAGE,Gangner,Rural,203,903,451,106,251,1,29,4,46,4,10,452
Nagpur,VILLAGE,Khandala,Rural,168,807,469,143,262,17,37,2,6,1,1,338
Nagpur,VILLAGE,Hiwara,Rural,86,415,263,88,43,2,33,9,8,0,80,152
Nagpur,VILLAGE,Nawegaon,Rural,185,832,390,59,250,4,46,2,25,2,2,442
Nagpur,VILLAGE,Tarsa,Rural,1035,4678,2442,762,1146,70,298,36,108,4,18,2236
Nagpur,VILLAGE,Batnor,Rural,117,499,289,3,2,0,17,29,214,4,20,210
Nagpur,VILLAGE,Dhani,Rural,254,1181,657,124,224,3,32,4,195,2,73,524
Nagpur,VILLAGE,Mangli(Gosai),Rural,97,427,232,68,155,0,3,1,3,0,2,195
Nagpur,VILLAGE,Bhendala,Rural,264,1172,646,129,278,7,55,27,125,1,24,526
Nagpur,VILLAGE,Wirshi,Rural,297,1380,777,167,588,0,22,0,0,0,0,603
Nagpur,VILLAGE,Rewaral,Rural,781,3243,1625,398,949,25,163,8,59,0,23,1618
Nagpur,VILLAGE,Khandala,Rural,75,330,45,4,31,0,2,3,2,3,0,285
Nagpur,VILLAGE,Berdipar,Rural,127,595,294,40,214,0,21,1,12,3,3,301
Nagpur,VILLAGE,Metshivadouli,Rural,133,570,332,56,256,3,17,0,0,0,0,238
Nagpur,VILLAGE,Khaparkheda,Rural,8,28,16,0,1,0,1,0,14,0,0,12
Nagpur,VILLAGE,Adegaon,Rural,317,1394,590,161,140,10,14,17,230,6,12,804
Nagpur,VILLAGE,Kathalabodi,Rural,49,204,121,32,71,0,4,0,14,0,0,83
Nagpur,VILLAGE,Wagbodi,Rural,123,520,309,99,134,0,7,4,65,0,0,211
Nagpur,VILLAGE,Sawagi,Rural,77,314,211,80,98,1,18,0,13,0,1,103
Nagpur,VILLAGE,Bhandewadi,Rural,139,633,255,4,163,0,15,3,67,0,3,378
Nagpur,VILLAGE,Kodamendhi,Rural,908,3819,1876,436,913,22,407,13,61,6,18,1943
Nagpur,VILLAGE,Bori (ghiwari),Rural,124,554,313,85,200,1,12,8,7,0,0,241
Nagpur,VILLAGE,Dhanoli,Rural,249,1012,617,64,292,0,14,53,188,0,6,395
Nagpur,VILLAGE,Khidki,Rural,65,272,149,40,28,0,22,27,26,0,6,123
Nagpur,VILLAGE,Tondli (Burj),Rural,140,584,353,60,60,1,50,17,128,5,32,231
Nagpur,VILLAGE,Tondli Rithi,Rural,0,0,0,0,0,0,0,0,0,0,0,0
Nagpur,VILLAGE,Indora,Rural,364,1497,756,273,342,6,87,4,33,2,9,741
Nagpur,VILLAGE,Nandgaon,Rural,230,1047,482,235,150,12,29,14,42,0,0,565
Nagpur,VILLAGE,Indori(Rithi),Rural,0,0,0,0,0,0,0,0,0,0,0,0
Nagpur,VILLAGE,Wakeshwar,Rural,256,1237,610,192,350,6,40,14,6,0,2,627
Nagpur,VILLAGE,Sukli,Rural,136,571,292,121,87,10,24,14,25,3,8,279
Nagpur,VILLAGE,Waygaon,Rural,140,602,327,58,130,5,19,15,93,0,7,275
Nagpur,VILLAGE,Murmadi,Rural,91,412,268,71,195,0,2,0,0,0,0,144
Nagpur,VILLAGE,Pimpalgaon,Rural,104,476,279,169,109,0,1,0,0,0,0,197
Nagpur,VILLAGE,Sirsoli,Rural,231,1014,575,280,180,0,13,9,93,0,0,439
Nagpur,VILLAGE,Shrikhanda,Rural,55,261,145,109,22,0,2,4,5,0,3,116
Nagpur,VILLAGE,Ijani,Rural,95,427,254,136,115,0,3,0,0,0,0,173
Nagpur,VILLAGE,Wagholi  (Rithi),Rural,0,0,0,0,0,0,0,0,0,0,0,0
Nagpur,VILLAGE,Dharmapuri,Rural,362,1612,863,314,472,9,62,1,5,0,0,749
Nagpur,VILLAGE,Morgaon,Rural,247,1137,590,111,122,2,23,27,293,0,12,547
Nagpur,VILLAGE,Tanda,Rural,311,1388,800,97,184,12,105,115,241,19,27,588
Nagpur,VILLAGE,Mahalgaon,Rural,150,643,359,85,219,16,31,3,4,0,1,284
Nagpur,VILLAGE,Khat,Rural,999,4280,2347,324,882,60,286,86,553,28,128,1933
Nagpur,VILLAGE,Deomundhari,Rural,164,689,434,148,232,3,43,0,6,0,2,255
Nagpur,VILLAGE,Nawargaon,Rural,186,889,527,225,220,2,24,2,46,1,7,362
Nagpur,VILLAGE,Khandala Gujar,Rural,177,838,440,62,291,2,13,35,23,0,14,398
Nagpur,VILLAGE,Charbha,Rural,78,336,157,43,112,0,2,0,0,0,0,179
Nagpur,VILLAGE,Bhobhara(sundargaon),Rural,138,599,365,103,164,2,6,20,70,0,0,234
Nagpur,VILLAGE,Pipari,Rural,267,1195,746,221,464,20,27,4,5,0,5,449
Nagpur,VILLAGE,Ashti,Rural,122,541,295,108,166,0,15,2,1,0,3,246
Nagpur,VILLAGE,Dholmara,Rural,135,563,327,31,13,0,13,23,235,0,12,236
Nagpur,VILLAGE,Ghotmundhari,Rural,240,1053,657,177,441,1,20,4,14,0,0,396
Nagpur,VILLAGE,Shiwani,Rural,78,307,186,51,102,2,6,3,21,0,1,121
Nagpur,VILLAGE,Adasa,Rural,107,482,260,118,44,0,23,45,24,3,3,222
Nagpur,VILLAGE,Panjara,Rural,105,452,298,127,126,0,5,0,40,0,0,154
Nagpur,VILLAGE,Dahegaon,Rural,504,2355,1380,412,453,11,76,17,401,0,10,975
Nagpur,VILLAGE,Chicholi,Rural,253,1116,653,143,225,9,37,17,216,3,3,463
Nagpur,VILLAGE,Bhowari,Rural,56,249,152,81,69,0,2,0,0,0,0,97
Nagpur,VILLAGE,Chikhalabodi,Rural,83,417,248,152,86,0,10,0,0,0,0,169
Nagpur,VILLAGE,Hiwara,Rural,85,393,236,57,164,0,11,0,0,0,4,157
Nagpur,VILLAGE,Niharwani,Rural,560,2459,1282,314,672,11,172,13,94,1,5,1177
Nagpur,VILLAGE,Sigori,Rural,76,370,211,55,137,0,16,1,1,0,1,159
Nagpur,VILLAGE,Narsala,Rural,146,722,249,131,107,0,5,3,3,0,0,473
Nagpur,VILLAGE,Sawargaon,Rural,86,434,275,132,124,0,15,0,1,0,3,159
Nagpur,VILLAGE,Babadeo,Rural,314,1416,746,144,356,17,133,6,48,7,35,670
Nagpur,VILLAGE,Isapur,Rural,164,660,399,150,185,1,13,20,26,0,4,261
Nagpur,VILLAGE,Ajangaon,Rural,301,1418,826,435,257,15,57,12,31,4,15,592
Nagpur,VILLAGE,Mangli(Teli),Rural,276,1275,750,385,151,1,42,3,164,0,4,525
Nagpur,VILLAGE,Dhanla,Rural,994,4214,2441,527,941,22,235,105,559,11,41,1773
Nagpur,VILLAGE,Nawegaon,Rural,96,441,218,109,61,3,36,1,8,0,0,223
Nagpur,VILLAGE,Dhamangaon,Rural,256,1145,623,133,43,0,57,57,231,1,101,522
Nagpur,VILLAGE,Kumbhari,Rural,515,2218,1811,278,26,30,1069,11,34,5,358,407
Nagpur,VILLAGE,Rahadi,Rural,233,1001,382,28,80,0,143,5,91,4,31,619
Nagpur,VILLAGE,Nanadevi,Rural,94,498,205,67,112,0,24,0,2,0,0,293
Nagpur,VILLAGE,Mangli (Chande),Rural,80,372,225,75,142,0,8,0,0,0,0,147
Nagpur,VILLAGE,Kumbhapur,Rural,104,486,285,77,130,1,5,3,66,2,1,201
Nagpur,VILLAGE,Kopara,Rural,64,281,158,114,31,1,5,7,0,0,0,123
Nagpur,VILLAGE,Kirnapur,Rural,58,284,157,69,71,2,7,3,5,0,0,127
Nagpur,VILLAGE,Sukali,Rural,33,170,98,1,76,0,0,0,19,0,2,72
Nagpur,VILLAGE,Zullar,Rural,186,812,312,120,135,9,18,4,1,0,25,500
Nagpur,VILLAGE,Chehadi,Rural,114,516,326,46,233,0,4,0,39,0,4,190
Nagpur,VILLAGE,Dahali,Rural,184,729,337,20,131,4,170,0,10,0,2,392
Nagpur,VILLAGE,Lapaka,Rural,176,751,357,93,179,0,85,0,0,0,0,394
Nagpur,VILLAGE,Korad,Rural,131,552,336,96,182,6,18,10,23,0,1,216
Nagpur,VILLAGE,Marodi,Rural,584,2477,1292,295,453,20,218,53,238,5,10,1185
Nagpur,VILLAGE,Bhamawada,Rural,5,25,14,5,8,0,1,0,0,0,0,11
Nagpur,VILLAGE,Singori,Rural,144,624,324,77,222,3,17,0,2,1,2,300
Nagpur,VILLAGE,Borgaon,Rural,193,842,412,100,207,0,84,0,15,0,6,430
Nagpur,VILLAGE,Mahadula,Rural,129,641,424,36,27,2,5,31,321,0,2,217
Nagpur,VILLAGE,Mohadi,Rural,401,1917,1221,459,226,11,114,41,307,4,59,696
Nagpur,VILLAGE,Chirwha,Rural,625,2797,1515,190,307,42,168,161,586,16,45,1282
Nagpur,VILLAGE,Pawaddauna,Rural,140,676,487,467,5,1,6,2,5,0,1,189
Nagpur,VILLAGE,Mathani,Rural,671,3025,1487,275,660,51,423,9,40,3,26,1538
Nagpur,VILLAGE,Wanjra,Rural,159,663,381,128,101,12,71,0,2,0,67,282
Nagpur,VILLAGE,Mohkhedi,Rural,118,541,331,152,133,9,24,1,9,0,3,210
Nagpur,VILLAGE,Wadhana,Rural,67,314,198,68,118,3,6,0,2,1,0,116
Nagpur,VILLAGE,Nandgaon,Rural,70,328,207,120,66,1,15,1,1,0,3,121
Nagpur,VILLAGE,Panmara,Rural,202,929,483,151,227,14,36,18,37,0,0,446
Nagpur,VILLAGE,Gowari,Rural,468,2058,1041,151,119,5,83,8,552,15,108,1017
Nagpur,VILLAGE,Borgaon(rithi),Rural,0,0,0,0,0,0,0,0,0,0,0,0
Nagpur,VILLAGE,Kotgaon,Rural,215,942,542,244,266,2,23,1,5,1,0,400
Nagpur,CD BLOCK,Kamptee,Rural,21760,96091,46642,9256,16488,765,14701,596,2802,168,1866,49449
Nagpur,VILLAGE,Tandulwani,Rural,56,250,128,36,80,0,7,1,1,0,3,122
Nagpur,VILLAGE,Babulkheda,Rural,198,871,526,153,342,1,14,2,10,0,4,345
Nagpur,VILLAGE,Chicholi,Rural,59,287,157,25,123,1,7,0,1,0,0,130
Nagpur,VILLAGE,Khapa,Rural,364,1718,919,193,561,16,134,3,8,0,4,799
Nagpur,VILLAGE,Gumthi,Rural,190,778,366,116,13,13,33,25,99,18,49,412
Nagpur,VILLAGE,Lonkhairi,Rural,379,1722,810,141,535,14,100,1,15,1,3,912
Nagpur,VILLAGE,Nanda,Rural,184,856,375,17,281,0,68,1,3,0,5,481
Nagpur,VILLAGE,Khaparkheda,Rural,103,425,176,6,36,3,124,0,1,2,4,249
Nagpur,VILLAGE,Panjara,Rural,334,1441,480,12,1,8,428,7,1,3,20,961
Nagpur,VILLAGE,Suradevi,Rural,384,1777,930,86,17,12,281,66,162,18,288,847
Nagpur,VILLAGE,Bina,Rural,699,3209,1298,98,273,19,804,9,52,1,42,1911
Nagpur,VILLAGE,Bidbina,Rural,29,122,81,22,48,0,8,0,3,0,0,41
Nagpur,VILLAGE,Waregaon,Rural,380,1707,979,77,445,65,314,2,11,13,52,728
Nagpur,VILLAGE,Kawtha,Rural,141,622,362,64,268,0,7,11,11,0,1,260
Nagpur,VILLAGE,Khasala,Rural,333,1505,494,48,55,12,349,9,2,1,18,1011
Nagpur,VILLAGE,Mhasala,Rural,853,3714,1543,60,114,26,1102,7,17,7,210,2171
Nagpur,VILLAGE,Khairy,Rural,364,1679,599,74,74,10,401,3,15,0,22,1080
Nagpur,VILLAGE,Bhilgaon,Rural,1142,5030,1788,87,55,39,1197,9,90,15,296,3242
Nagpur,VILLAGE,Ranala,Rural,1040,4899,1665,86,90,43,1288,6,8,11,133,3234
Nagpur,VILLAGE,Ghorpad,Rural,266,1184,642,78,126,22,247,19,104,2,44,542
Nagpur,VILLAGE,Ajani,Rural,604,2651,1352,241,543,3,505,5,29,2,24,1299
Nagpur,VILLAGE,Gada,Rural,383,1765,891,182,247,11,155,59,155,2,80,874
Nagpur,VILLAGE,Neri,Rural,418,1793,1078,182,479,7,369,4,24,0,13,715
Nagpur,VILLAGE,Undgaon,Rural,217,841,539,18,187,0,253,1,79,0,1,302
Nagpur,VILLAGE,Sonegaon,Rural,391,1660,957,226,181,2,36,93,391,5,23,703
Nagpur,VILLAGE,Bhowari,Rural,283,1049,559,173,109,3,220,3,7,3,41,490
Nagpur,VILLAGE,Avandhi,Rural,215,965,589,232,230,0,34,11,65,0,17,376
Nagpur,VILLAGE,Lihigaon,Rural,238,1106,650,257,303,7,71,1,2,0,9,456
Nagpur,VILLAGE,Shirpur,Rural,145,655,290,58,101,7,91,4,13,0,16,365
Nagpur,VILLAGE,Pawangaon,Rural,260,1117,536,118,357,2,57,1,1,0,0,581
Nagpur,VILLAGE,Powari,Rural,112,487,189,0,0,4,151,1,3,6,24,298
Nagpur,VILLAGE,Kapsi bk,Rural,573,2432,1133,140,185,30,628,7,118,1,24,1299
Nagpur,VILLAGE,Dhargaon,Rural,109,508,278,31,103,0,137,4,1,0,2,230
Nagpur,VILLAGE,Mahalgaon,Rural,558,2446,1230,174,564,26,459,1,2,1,3,1216
Nagpur,VILLAGE,Asoli.,Rural,246,1185,626,222,289,17,91,3,1,0,3,559
Nagpur,VILLAGE,Kadoli.,Rural,486,2016,970,178,325,14,394,2,43,2,12,1046
Nagpur,VILLAGE,Sawali,Rural,205,844,454,46,149,1,136,1,88,0,33,390
Nagpur,VILLAGE,Gumthala,Rural,739,3209,1429,318,526,24,383,10,134,2,32,1780
Nagpur,VILLAGE,Wadoda,Rural,1390,5708,2584,468,953,53,800,4,223,6,77,3124
Nagpur,VILLAGE,Bhamewada,Rural,167,773,446,84,310,3,47,0,2,0,0,327
Nagpur,VILLAGE,Asalwada,Rural,93,359,234,48,157,0,28,0,1,0,0,125
Nagpur,VILLAGE,Ambadi,Rural,125,521,298,59,171,14,39,4,4,1,6,223
Nagpur,VILLAGE,Yekardi,Rural,94,429,180,79,21,2,44,5,20,3,6,249
Nagpur,VILLAGE,Umari,Rural,150,656,421,180,223,9,8,0,0,1,0,235
Nagpur,VILLAGE,Palsad,Rural,337,1479,799,231,496,6,58,3,5,0,0,680
Nagpur,VILLAGE,Garla,Rural,119,566,348,98,235,0,11,0,2,0,2,218
Nagpur,VILLAGE,Dighori bk.,Rural,298,1298,853,196,595,7,31,2,9,0,13,445
Nagpur,VILLAGE,Tarodi bk.,Rural,265,1210,658,144,229,10,256,3,6,0,10,552
Nagpur,VILLAGE,Bidgaon.,Rural,1109,4812,1738,92,157,78,1284,11,21,7,88,3074
Nagpur,VILLAGE,Tarodi kh,Rural,186,785,298,4,74,6,206,0,4,2,2,487
Nagpur,VILLAGE,Pandhurna,Rural,123,626,362,87,147,3,27,28,60,4,6,264
Nagpur,VILLAGE,Khedi,Rural,143,623,370,152,158,18,33,4,5,0,0,253
Nagpur,VILLAGE,Parsodi,Rural,116,525,280,63,152,6,51,5,3,0,0,245
Nagpur,VILLAGE,Pandherkawada,Rural,100,491,280,110,121,4,40,1,4,0,0,211
Nagpur,VILLAGE,Kusumbi,Rural,42,184,118,50,50,1,16,0,1,0,0,66
Nagpur,VILLAGE,Temsana,Rural,182,822,480,182,228,6,42,10,9,1,2,342
Nagpur,VILLAGE,Adaka,Rural,166,774,411,149,205,3,20,17,10,2,5,363
Nagpur,VILLAGE,Kem,Rural,156,700,403,64,299,0,36,0,4,0,0,297
